entityname,subtypename,typename
Silent Storm engine,Lua-scriptable game engines,Video game engines
Ren'Py,Python-scriptable game engines,Video game engines
Ren'Py,Ren'Py games and visual novels,Video game engines
Cocos2d,Python-scriptable game engines,Video game engines
Flexible Isometric Free Engine,Python-scriptable game engines,Video game engines
GNOME Boxes,Virtualization-related software that uses GTK+,Virtualization-related software for Linux
Virtual Machine Manager,Virtualization-related software that uses GTK+,Virtualization-related software for Linux
Ren'Py,Ren'Py games and visual novels,Visual novel engines
This Is Where I Want To Die,Ren'Py games and visual novels,Visual novels
Loren the Amazon Princess,Ren'Py games and visual novels,Visual novels
Analogue: A Hate Story,Ren'Py games and visual novels,Visual novels
RE: Alistair,Ren'Py games and visual novels,Visual novels
Heileen,Ren'Py games and visual novels,Visual novels
Sleepless Night (visual novel),Ren'Py games and visual novels,Visual novels
Everlasting Summer,Ren'Py games and visual novels,Visual novels
The Flower Shop,Ren'Py games and visual novels,Visual novels
Nicole (video game),Ren'Py games and visual novels,Visual novels
Date Warp,Ren'Py games and visual novels,Visual novels
Dysfunctional Systems,Ren'Py games and visual novels,Visual novels
Bionic Heart,Ren'Py games and visual novels,Visual novels
Sepia Tears ~midwinter's reprise~,Ren'Py games and visual novels,Visual novels
Princess Battles,Ren'Py games and visual novels,Visual novels
Planet Stronghold,Ren'Py games and visual novels,Visual novels
Jisei (video game series),Ren'Py games and visual novels,Visual novels
Magical Diary,Ren'Py games and visual novels,Visual novels
The Royal Trap,Ren'Py games and visual novels,Visual novels
Tales of Aravorn: Seasons of the Wolf,Ren'Py games and visual novels,Visual novels
"Don't Take It Personally, Babe, It Just Ain't Your Story",Ren'Py games and visual novels,Visual novels
Digital: A Love Story,Ren'Py games and visual novels,Visual novels
Katawa Shoujo,Ren'Py games and visual novels,Visual novels
Roommates (video game),Ren'Py games and visual novels,Visual novels
Caf?? 0 ~The Drowned Mermaid~,Ren'Py games and visual novels,Visual novels
Long Live the Queen (video game),Ren'Py games and visual novels,Visual novels
Wayland (display server protocol),Freedesktop.org,Wayland
Kmscon,Freedesktop.org,Wayland
Freedesktop.org,Freedesktop.org,Wayland
WAI-ARIA,Ajax (programming),Web 2.0
Social Desktop,Social Desktop,Web 2.0
RichFaces,JavaServer Faces,Web application frameworks
PrimeFaces,JavaServer Faces,Web application frameworks
JavaServer Faces,JavaServer Faces,Web application frameworks
Apache Shale,JavaServer Faces,Web application frameworks
Django (web framework),Python web application frameworks,Web application frameworks
ICEfaces,JavaServer Faces,Web application frameworks
Laravel,PHP frameworks,Web application frameworks
XOOPS,PHP frameworks,Web application frameworks
Kajona,PHP frameworks,Web application frameworks
FuelPHP,PHP frameworks,Web application frameworks
Silex (web framework),PHP frameworks,Web application frameworks
Drupal,PHP frameworks,Web application frameworks
PRADO (framework),PHP frameworks,Web application frameworks
Fat-Free Framework,PHP frameworks,Web application frameworks
CakePHP,PHP frameworks,Web application frameworks
Jamroom,PHP frameworks,Web application frameworks
Lithium (PHP framework),PHP frameworks,Web application frameworks
Symfony,PHP frameworks,Web application frameworks
CodeIgniter,PHP frameworks,Web application frameworks
Apigility,PHP frameworks,Web application frameworks
SilverStripe,PHP frameworks,Web application frameworks
Kohana (framework),PHP frameworks,Web application frameworks
ProcessWire,PHP frameworks,Web application frameworks
Hazaar MVC,PHP frameworks,Web application frameworks
Joomla,PHP frameworks,Web application frameworks
Horde (software),PHP frameworks,Web application frameworks
Zend Framework,PHP frameworks,Web application frameworks
Nette Framework,PHP frameworks,Web application frameworks
PHPixie,PHP frameworks,Web application frameworks
Hammerkit,PHP frameworks,Web application frameworks
Yii,PHP frameworks,Web application frameworks
Bootstrap (front-end framework),Cascading Style Sheets,Web design
Bootstrap (front-end framework),CSS frameworks,Web design
Cascade Framework,Cascading Style Sheets,Web design
Cascade Framework,Responsive web design,Web design
Cascade Framework,CSS frameworks,Web design
Foundation (framework),Cascading Style Sheets,Web design
Foundation (framework),CSS frameworks,Web design
Modernizr,Responsive web design,Web design
Dynamic Cascading Style Sheets,Cascading Style Sheets,Web design
Cascading Style Sheets,Cascading Style Sheets,Web design
Fahrner Image Replacement,Cascading Style Sheets,Web design
Tableless web design,Cascading Style Sheets,Web design
Tableless web design,Responsive web design,Web design
YAML (framework),Cascading Style Sheets,Web design
YAML (framework),CSS frameworks,Web design
CSS frameworks,Cascading Style Sheets,Web design
CSS frameworks,Responsive web design,Web design
CSS frameworks,CSS frameworks,Web design
CSS Flex Box Layout,Cascading Style Sheets,Web design
Spacer GIF,Cascading Style Sheets,Web design
Responsive web design,Responsive web design,Web design
Progressive enhancement,Responsive web design,Web design
Polyfill,Responsive web design,Web design
Web Compatibility Test for Mobile Browsers,Acid tests,Web design
Web colors,Web colors,Web design
Cascade Framework,HTML,Web development
Cascade Framework,Responsive web design,Web development
Cascade Framework,CSS frameworks,Web development
Microformat,Microformats,Web development
Microformat,Semantic HTML,Web development
Polyfill,Responsive web design,Web development
CSS box model,CSS frameworks,Web development
Ajax (programming),Ajax (programming),Web development
Push technology,Ajax (programming),Web development
Comet (programming),Ajax (programming),Web development
TOWeb,HTML editors,Web development software
350pages,HTML editors,Web development software
CoffeeCup HTML Editor,HTML editors,Web development software
Adobe Dreamweaver,HTML editors,Web development software
ZyWeb,HTML editors,Web development software
SkEdit,HTML editors,Web development software
Bluefish (software),Free HTML editors,Web development software
Bluefish (software),HTML editors,Web development software
Microsoft Expression Web,HTML editors,Web development software
FirstPage,HTML editors,Web development software
Comparison of free web hosting services,HTML editors,Web development software
EZGenerator,HTML editors,Web development software
Artisteer,Automated WYSIWYG editors,Web development software
TemplateToaster,Automated WYSIWYG editors,Web development software
NetBeans,Free HTML editors,Web development software
WikiMapia,Keyhole Markup Language,Web mapping
Bing Maps,Keyhole Markup Language,Web mapping
Google Maps,Keyhole Markup Language,Web mapping
Leaflet (software),Keyhole Markup Language,Web mapping
OpenLayers,Keyhole Markup Language,Web mapping
Feed icon,Atom (standard),Web syndication
Feed icon,RSS,Web syndication
GData,Atom (standard),Web syndication formats
RSS tracking,RSS,Web syndication formats
OpenAutonomy,RSS,Web syndication formats
Open Data Protocol,Atom (standard),Web syndication formats
Atom (standard),Atom (standard),Web syndication formats
Atom (standard),RSS,Web syndication formats
RSS enclosure,RSS,Web syndication formats
RSS Cloud,RSS,Web syndication formats
RSS,RSS,Web syndication formats
FeedSync,RSS,Web syndication formats
PubSubHubbub,RSS,Web syndication formats
QtRuby,Qt (framework),Widget toolkits
QtRuby,KDE Platform,Widget toolkits
Pyjs,JavaScript libraries,Widget toolkits
Java-gnome,GTK+ language bindings,Widget toolkits
Java-gnome,GNOME libraries,Widget toolkits
Java-gnome,GNOME stubs,Widget toolkits
GTK+,GTK+,Widget toolkits
FLUID,FLTK,Widget toolkits
FLTK,FLTK,Widget toolkits
PyQt,Qt (framework),Widget toolkits
Qt (software),Qt (framework),Widget toolkits
Qt (software),S60 (software platform),Widget toolkits
WxWidgets,WxWidgets,Widget toolkits
wxWidgets,WxWidgets,Widget toolkits
WxPerl,WxWidgets,Widget toolkits
WxPHP,WxWidgets,Widget toolkits
WxPython,WxWidgets,Widget toolkits
wxPython,WxWidgets,Widget toolkits
PyGTK,GTK+ language bindings,Widget toolkits
PySide,Qt (framework),Widget toolkits
PHP-GTK,GTK+ language bindings,Widget toolkits
PHP-Qt,Qt (framework),Widget toolkits
Tk (software),Tk (software),Widget toolkits
QGtkStyle,Qt (framework),Widget toolkits
